city,state,ev_network,total_stations,total_ports,dc_fast_pct,level2_pct,rolling_avg_ports
Los Angeles,CA,LOOP,284,3564,1.07,98.93,3564.0
Los Angeles,CA,ChargePoint Network,980,1583,0.38,99.62,1583.0
Irvine,CA,ChargePoint Network,763,1301,0.85,99.15,1442.0
San Diego,CA,ChargePoint Network,686,1184,2.53,97.47,1356.0
San Jose,CA,ChargePoint Network,531,992,0.6,99.4,1265.0
San Francisco,CA,ChargePoint Network,475,827,4.59,95.41,1177.4
Santa Clara,CA,ChargePoint Network,354,674,0.0,100.0,1093.5
Sacramento,CA,ChargePoint Network,361,650,0.92,99.08,1030.14
Menlo Park,CA,ChargePoint Network,299,540,5.74,94.26,881.14
San Diego,CA,POWERFLEX,30,520,0.0,100.0,520.0
San Mateo,CA,ChargePoint Network,220,418,0.0,100.0,755.0
Los Angeles,CA,AMPUP,59,416,0.0,100.0,416.0
San Diego,CA,Tesla,25,402,100.0,0.0,402.0
Los Angeles,CA,POWERFLEX,19,393,4.58,95.42,456.5
Los Angeles,CA,Non-Networked,43,389,4.63,87.66,389.0
Los Angeles,CA,FLO,389,389,0.0,100.0,389.0
Inglewood,CA,SHELL_RECHARGE,15,384,0.0,100.0,384.0
Anaheim,CA,ChargePoint Network,202,378,3.97,96.03,639.86
San Jose,CA,Tesla,21,369,100.0,0.0,385.5
Redwood City,CA,ChargePoint Network,185,347,0.58,99.42,547.71
San Jose,CA,POWERFLEX,12,345,5.8,94.2,419.33
South San Francisco,CA,ChargePoint Network,182,329,0.91,99.09,476.57
Los Angeles,CA,Blink Network,46,303,0.0,100.0,303.0
Long Beach,CA,ChargePoint Network,174,299,2.68,97.32,423.0
Palo Alto,CA,ChargePoint Network,161,273,0.37,99.63,369.14
Santa Monica,CA,ChargePoint Network,179,272,0.0,100.0,330.86
Sunnyvale,CA,ChargePoint Network,146,250,0.0,100.0,306.86
San Bernardino,CA,ChargePoint Network,137,250,1.2,98.8,288.57
Burlingame,CA,ChargePoint Network,133,247,0.0,100.0,274.29
Pasadena,CA,Non-Networked,12,240,22.5,77.5,314.5
Los Angeles,CA,EVCS,26,226,53.1,46.9,226.0
Sacramento,CA,Non-Networked,21,224,0.0,70.98,284.33
Oakland,CA,ChargePoint Network,122,220,0.45,99.55,258.71
Torrance,CA,ChargePoint Network,115,218,0.0,100.0,247.14
Barstow,CA,Tesla,3,206,100.0,0.0,325.67
San Jose,CA,Blink Network,27,204,0.0,100.0,253.5
Fullerton,CA,ChargePoint Network,115,203,0.99,99.01,237.14
Cupertino,CA,ChargePoint Network,110,198,0.0,100.0,226.57
La Jolla,CA,POWERFLEX,3,197,0.0,100.0,363.75
Mountain View,CA,ChargePoint Network,105,192,1.04,98.96,218.29
Santa Ana,CA,CHARGIE,3,191,0.0,100.0,191.0
Fremont,CA,ChargePoint Network,107,189,2.12,97.88,209.57
Los Angeles,CA,Tesla,7,186,100.0,0.0,290.75
Hayward,CA,ChargePoint Network,102,185,2.7,97.3,200.71
Ontario,CA,ChargePoint Network,101,182,2.2,97.8,195.29
Fresno,CA,ChargePoint Network,131,179,5.59,94.41,189.71
San Diego,CA,Blink Network,49,177,0.0,100.0,228.0
San Luis Obispo,CA,ChargePoint Network,97,175,4.57,95.43,185.71
Riverside,CA,ChargePoint Network,94,172,3.49,96.51,182.0
Burbank,CA,ChargePoint Network,96,171,1.75,98.25,179.0
Sacramento,CA,Tesla,11,169,100.0,0.0,266.4
Irvine,CA,NOODOE,4,168,0.0,100.0,168.0
Newport Beach,CA,ChargePoint Network,97,162,1.85,98.15,175.14
Oakland,CA,FLASH,7,152,0.0,100.0,152.0
Napa,CA,ChargePoint Network,83,152,0.66,99.34,170.43
Los Angeles,CA,EVGATEWAY,10,150,13.33,86.67,150.0
Costa Mesa,CA,ChargePoint Network,85,146,4.11,95.89,165.29
City of Industry,CA,ChargePoint Network,76,144,0.69,99.31,160.29
Elk Grove,CA,ChargePoint Network,81,143,6.99,93.01,155.71
Saratoga,CA,POWERFLEX,7,140,5.71,94.29,319.0
Carson,CA,ChargePoint Network,82,138,0.72,99.28,150.86
Orange,CA,ChargePoint Network,75,137,1.46,98.54,146.0
San Bernardino,CA,LOOP,5,136,0.0,100.0,1850.0
Pasadena,CA,POWERFLEX,10,135,16.3,83.7,288.33
Culver City,CA,ChargePoint Network,69,132,0.0,100.0,141.71
Los Angeles,CA,Tesla Destination,39,127,0.0,100.0,127.0
San Mateo,CA,Tesla,7,124,100.0,0.0,242.67
Anaheim,CA,Tesla,7,124,100.0,0.0,225.71
Bakersfield,CA,ChargePoint Network,83,122,5.74,94.26,137.43
Santa Rosa,CA,ChargePoint Network,69,120,1.67,98.33,133.71
San Diego,CA,Tesla Destination,27,120,0.0,100.0,123.5
San Francisco,CA,Non-Networked,15,119,0.84,36.97,243.0
Santa Barbara,CA,ChargePoint Network,62,116,3.45,96.55,129.71
San Rafael,CA,ChargePoint Network,60,116,0.0,100.0,125.86
Sacramento,CA,OpConnect,13,115,0.0,100.0,115.0
Sacramento,CA,EV Connect,7,115,0.0,100.0,115.0
San Diego,CA,LOOP,9,114,0.0,100.0,1271.33
Sacramento,CA,eVgo Network,16,110,100.0,0.0,110.0
Santa Ana,CA,ChargePoint Network,62,109,5.5,94.5,121.71
Baker,CA,Tesla,2,108,100.0,0.0,183.71
Stanford,CA,ChargePoint Network,55,108,0.0,100.0,117.57
Marina Del Rey,CA,POWERFLEX,5,107,0.0,100.0,262.43
Palo Alto,CA,POWERFLEX,9,107,1.87,98.13,203.43
West Hollywood,CA,ChargePoint Network,64,106,0.0,100.0,113.86
El Cajon,CA,ChargePoint Network,61,106,2.83,97.17,111.57
Universal City,CA,ChargePoint Network,54,106,0.0,100.0,109.57
Milpitas,CA,Tesla,7,105,100.0,0.0,146.0
Los Angeles,CA,NOODOE,8,105,0.0,100.0,136.5
Davis,CA,Non-Networked,22,104,0.96,85.58,215.2
Lost Hills,CA,Tesla,2,104,100.0,0.0,131.43
Irvine,CA,Tesla,6,104,100.0,0.0,119.71
Walnut Creek,CA,ChargePoint Network,55,100,0.0,100.0,107.29
Culver City,CA,Blink Network,16,100,6.0,94.0,196.0
Coalinga,CA,Tesla,2,98,100.0,0.0,109.57
Dublin,CA,ChargePoint Network,57,98,5.1,94.9,104.71
Berkeley,CA,ChargePoint Network,57,97,0.0,100.0,103.0
Livermore,CA,Tesla,5,96,100.0,0.0,105.57
San Diego,CA,EVGATEWAY,2,96,1.04,98.96,123.0
San Diego,CA,eVgo Network,16,96,97.92,2.08,103.0
Milpitas,CA,ChargePoint Network,62,95,1.05,98.95,101.14
Kettleman City,CA,Tesla,2,95,100.0,0.0,101.43
Beverly Hills,CA,ChargePoint Network,55,95,0.0,100.0,99.57
Santa Monica,CA,Tesla,3,94,100.0,0.0,99.43
Pleasanton,CA,ChargePoint Network,61,94,0.0,100.0,97.86
Pasadena,CA,Tesla,5,92,100.0,0.0,97.57
Thousand Oaks,CA,EVGATEWAY,4,92,8.7,91.3,112.67
Ontario,CA,Tesla,5,92,100.0,0.0,95.86
San Francisco,CA,Blink Network,30,92,0.0,100.0,175.2
Malibu,CA,ChargePoint Network,53,91,0.0,100.0,95.71
Long Beach,CA,LOOP,5,91,0.0,100.0,976.25
Carlsbad,CA,ChargePoint Network,49,90,0.0,100.0,94.29
Stockton,CA,EVCS,10,89,19.1,80.9,157.5
San Francisco,CA,Tesla Destination,24,89,0.0,100.0,112.0
Paso Robles,CA,Tesla Destination,36,88,0.0,100.0,106.0
Sacramento,CA,LOOP,7,88,2.27,97.73,798.6
Oceanside,CA,ChargePoint Network,52,88,2.27,97.73,92.86
San Jose,CA,Non-Networked,8,88,2.27,97.73,194.0
Santa Monica,CA,FLASH,8,86,0.0,100.0,119.0
Cypress,CA,ChargePoint Network,50,86,0.0,100.0,91.29
San Jose,CA,Tesla Destination,12,85,0.0,100.0,101.8
San Ramon,CA,Tesla,5,84,100.0,0.0,93.0
Santa Monica,CA,Non-Networked,13,84,2.38,97.62,178.29
Roseville,CA,Tesla,5,83,100.0,0.0,90.86
Escondido,CA,LOOP,7,82,0.0,100.0,679.17
Bakersfield,CA,Tesla,6,82,100.0,0.0,88.86
Diamond Bar,CA,ChargePoint Network,48,81,0.0,100.0,89.29
Santa Clarita,CA,ChargePoint Network,49,81,4.94,95.06,87.29
San Francisco,CA,Tesla,5,80,100.0,0.0,86.71
Fremont,CA,Tesla,7,80,100.0,0.0,84.71
Vacaville,CA,Tesla,5,80,100.0,0.0,83.0
Alameda,CA,ChargePoint Network,41,78,0.0,100.0,85.0
Pasadena,CA,ChargePoint Network,41,78,0.0,100.0,83.14
El Segundo,CA,ChargePoint Network,41,77,0.0,100.0,81.29
San Francisco,CA,eVgo Network,12,77,98.7,1.3,94.33
Dublin,CA,Tesla,6,76,100.0,0.0,80.71
Arvin,CA,Tesla,1,76,100.0,0.0,79.57
Downey,CA,POWERFLEX,3,76,0.0,100.0,158.14
Campbell,CA,ChargePoint Network,43,75,10.67,89.33,79.43
Livermore,CA,ChargePoint Network,41,74,0.0,100.0,77.71
San Ramon,CA,EV Connect,4,74,0.0,100.0,94.5
Pleasanton,CA,Tesla,5,74,100.0,0.0,78.29
San Diego,CA,Electrify America,13,74,94.59,5.41,74.0
Los Altos,CA,Non-Networked,4,74,1.35,98.65,133.29
San Diego,CA,Non-Networked,11,72,0.0,100.0,109.29
Brisbane,CA,ChargePoint Network,39,71,0.0,100.0,76.29
Tustin,CA,ChargePoint Network,39,70,2.86,97.14,74.71
Moreno Valley,CA,ChargePoint Network,39,70,5.71,94.29,73.57
Rohnert Park,CA,ChargePoint Network,41,70,8.57,91.43,72.43
Glendale,CA,ChargePoint Network,37,70,0.0,100.0,71.43
Gilroy,CA,Tesla,4,68,100.0,0.0,76.29
Redding,CA,Tesla,3,68,100.0,0.0,74.57
Costa Mesa,CA,Tesla,4,68,100.0,0.0,72.86
Chula Vista,CA,Tesla,5,68,100.0,0.0,71.14
Anaheim,CA,LOOP,9,67,0.0,100.0,591.71
Manteca,CA,ChargePoint Network,42,67,0.0,100.0,70.29
San Jose,CA,eVgo Network,12,66,100.0,0.0,87.25
Temecula,CA,Tesla,5,66,100.0,0.0,69.71
Mountain View,CA,POWERFLEX,3,66,0.0,100.0,118.29
Cupertino,CA,POWERFLEX,4,66,12.12,87.88,99.57
West Covina,CA,LOOP,2,65,3.08,96.92,91.86
San Clemente,CA,Tesla,2,65,100.0,0.0,68.14
Fairfield,CA,Tesla,6,64,100.0,0.0,66.71
Upland,CA,Tesla,1,64,100.0,0.0,66.14
Oceanside,CA,Tesla,3,64,100.0,0.0,65.57
Folsom,CA,ChargePoint Network,37,64,3.13,96.88,68.86
Napa,CA,Tesla Destination,22,64,0.0,100.0,95.5
Montebello,CA,Tesla,1,64,100.0,0.0,65.0
Tustin,CA,Tesla,4,63,100.0,0.0,64.29
Walnut,CA,ChargePoint Network,37,63,0.0,100.0,67.71
Inglewood,CA,ChargePoint Network,37,63,0.0,100.0,66.71
Pomona,CA,Non-Networked,2,62,0.0,61.29,86.14
La Jolla,CA,ChargePoint Network,38,62,16.13,83.87,65.57
Yermo,CA,Tesla,2,62,100.0,0.0,63.71
Lebec,CA,Tesla,2,62,100.0,0.0,63.29
Sacramento,CA,Electrify America,12,62,95.16,4.84,68.0
Newark,CA,Tesla,4,62,100.0,0.0,63.0
Sacramento,CA,POWERFLEX,2,62,0.0,100.0,88.43
Petaluma,CA,POWERFLEX,6,60,0.0,100.0,77.71
Roseville,CA,ChargePoint Network,33,60,0.0,100.0,64.14
West Covina,CA,Tesla,3,60,100.0,0.0,62.43
Walnut Creek,CA,Tesla,4,60,100.0,0.0,61.86
Commerce,CA,Tesla,2,60,100.0,0.0,61.29
Irvine,CA,LOOP,10,59,10.17,89.83,80.86
Fresno,CA,Tesla,5,58,100.0,0.0,60.57
Dublin,CA,LOOP,1,58,0.0,100.0,72.86
Los Angeles,CA,AUTEL,2,58,31.03,68.97,58.0
Westlake Village,CA,ChargePoint Network,33,57,0.0,100.0,62.29
Larkspur,CA,ChargePoint Network,32,57,0.0,100.0,60.86
Camarillo,CA,ChargePoint Network,34,57,0.0,100.0,59.86
Solana Beach,CA,ChargePoint Network,29,57,0.0,100.0,59.0
Fresno,CA,EVCS,8,57,43.86,56.14,124.0
Santa Maria,CA,ChargePoint Network,31,57,7.02,92.98,58.14
Palm Desert,CA,Non-Networked,2,57,0.0,100.0,77.29
Mojave,CA,Tesla,4,56,100.0,0.0,59.71
St. Helena,CA,Tesla Destination,25,56,0.0,100.0,89.86
Vallejo,CA,Tesla,4,56,100.0,0.0,58.86
Bakersfield,CA,LOOP,11,56,0.0,100.0,67.86
Firebaugh,CA,Tesla,1,56,100.0,0.0,58.0
Mountain View,CA,Tesla,3,56,100.0,0.0,57.43
Oxnard,CA,ChargePoint Network,32,56,8.93,91.07,57.29
Dunnigan,CA,Tesla,2,56,100.0,0.0,56.86
Huntington Beach,CA,ChargePoint Network,30,55,1.82,98.18,56.57
Daly City,CA,Tesla,2,55,100.0,0.0,56.14
Santa Cruz,CA,ChargePoint Network,30,55,1.82,98.18,56.29
Escondido,CA,ChargePoint Network,33,55,0.0,100.0,56.0
Costa Mesa,CA,EVIUM,1,54,0.0,100.0,54.0
Temecula,CA,Blink Network,1,54,0.0,100.0,155.0
Chula Vista,CA,ChargePoint Network,35,54,9.26,90.74,55.57
Glendale,CA,VIALYNK,6,54,0.0,100.0,54.0
Hanford,CA,ChargePoint Network,38,54,0.0,100.0,55.14
San Luis Obispo,CA,Tesla,3,54,100.0,0.0,55.57
Temecula,CA,ChargePoint Network,28,54,0.0,100.0,54.71
Healdsburg,CA,Tesla Destination,22,53,0.0,100.0,79.29
Santa Clara,CA,POWERFLEX,2,53,15.09,84.91,70.0
Santa Clara,CA,Blink Network,3,53,0.0,100.0,140.43
Glendale,CA,Tesla,3,52,100.0,0.0,55.0
Buena Park,CA,Tesla,2,52,100.0,0.0,54.43
Victorville,CA,Tesla,3,52,100.0,0.0,53.86
San Bruno,CA,Tesla,3,52,100.0,0.0,53.29
Claremont,CA,ChargePoint Network,28,52,0.0,100.0,54.14
Simi Valley,CA,Tesla,3,52,100.0,0.0,52.71
SF,CA,Blink Network,12,52,0.0,100.0,104.57
El Centro,CA,Tesla,3,52,100.0,0.0,52.29
Burbank,CA,Tesla,3,52,100.0,0.0,52.0
