city,state,ev_network,total_stations,total_level1_ports,total_level2_ports,total_dc_fast_ports,total_ports,avg_ports_per_station,dc_fast_pct,level2_pct,created_at
Los Angeles,CA,LOOP,284,0,3526,38,3564,12.55,1.07,98.93,2026-06-21 21:47:05.311903+00
Los Angeles,CA,ChargePoint Network,980,0,1578,6,1584,1.62,0.38,99.62,2026-06-21 21:47:05.311903+00
Irvine,CA,ChargePoint Network,765,0,1295,11,1306,1.71,0.84,99.16,2026-06-21 21:47:05.311903+00
San Diego,CA,ChargePoint Network,687,0,1155,30,1185,1.72,2.53,97.47,2026-06-21 21:47:05.311903+00
San Jose,CA,ChargePoint Network,532,0,987,6,993,1.87,0.60,99.40,2026-06-21 21:47:05.311903+00
San Francisco,CA,ChargePoint Network,475,0,789,38,827,1.74,4.59,95.41,2026-06-21 21:47:05.311903+00
Santa Clara,CA,ChargePoint Network,353,0,672,0,672,1.90,0.00,100.00,2026-06-21 21:47:05.311903+00
Sacramento,CA,ChargePoint Network,360,0,642,6,648,1.80,0.93,99.07,2026-06-21 21:47:05.311903+00
Menlo Park,CA,ChargePoint Network,299,0,509,31,540,1.81,5.74,94.26,2026-06-21 21:47:05.311903+00
San Diego,CA,POWERFLEX,30,0,520,0,520,17.33,0.00,100.00,2026-06-21 21:47:05.311903+00
San Mateo,CA,ChargePoint Network,227,0,432,0,432,1.90,0.00,100.00,2026-06-21 21:47:05.311903+00
Los Angeles,CA,AMPUP,59,0,416,0,416,7.05,0.00,100.00,2026-06-21 21:47:05.311903+00
San Diego,CA,Tesla,25,0,0,402,402,16.08,100.00,0.00,2026-06-21 21:47:05.311903+00
Los Angeles,CA,POWERFLEX,19,0,375,18,393,20.68,4.58,95.42,2026-06-21 21:47:05.311903+00
Los Angeles,CA,Non-Networked,43,30,341,18,389,9.05,4.63,87.66,2026-06-21 21:47:05.311903+00
Los Angeles,CA,FLO,389,0,389,0,389,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Inglewood,CA,SHELL_RECHARGE,15,0,384,0,384,25.60,0.00,100.00,2026-06-21 21:47:05.311903+00
Anaheim,CA,ChargePoint Network,200,0,359,15,374,1.87,4.01,95.99,2026-06-21 21:47:05.311903+00
