month,state,ev_network,stations_opened,ports_opened,dc_fast_opened,level2_opened,cumulative_stations,cumulative_ports
1995-08-01 00:00:00+00,CA,Non-Networked,1,8,0,8,1,8
1997-07-01 00:00:00+00,CA,Non-Networked,1,1,0,1,2,9
1997-08-01 00:00:00+00,CA,Non-Networked,3,10,0,10,5,19
1998-05-01 00:00:00+00,CA,Non-Networked,3,16,0,15,8,35
1998-06-01 00:00:00+00,CA,Non-Networked,6,33,0,33,14,68
1998-07-01 00:00:00+00,CA,Non-Networked,1,1,0,1,15,69
1999-10-01 00:00:00+00,CA,Non-Networked,1,16,4,12,16,85
2000-04-01 00:00:00+00,CA,Non-Networked,3,11,0,11,19,96
2002-01-01 00:00:00+00,CA,Non-Networked,5,11,0,11,24,107
2002-02-01 00:00:00+00,CA,Non-Networked,1,1,0,1,25,108
2002-05-01 00:00:00+00,CA,Non-Networked,6,26,0,22,31,134
2004-05-01 00:00:00+00,CA,Non-Networked,3,8,0,7,34,142
2004-06-01 00:00:00+00,CA,Non-Networked,9,24,0,22,43,166
2004-07-01 00:00:00+00,CA,Non-Networked,1,1,0,1,44,167
2005-07-01 00:00:00+00,CA,Non-Networked,3,9,0,9,47,176
2006-07-01 00:00:00+00,CA,Blink Network,1,5,0,5,48,181
2006-08-01 00:00:00+00,CA,Non-Networked,1,1,0,1,49,182
2008-12-01 00:00:00+00,CA,Non-Networked,13,64,0,50,62,246
2009-06-01 00:00:00+00,CA,Non-Networked,1,1,0,1,63,247
2010-04-01 00:00:00+00,CA,Non-Networked,1,1,0,1,64,248
2010-11-01 00:00:00+00,CA,Non-Networked,2,17,2,15,66,265
2011-02-01 00:00:00+00,CA,Non-Networked,2,26,0,22,68,291
2011-03-01 00:00:00+00,CA,Non-Networked,28,69,22,46,96,360
2011-05-01 00:00:00+00,CA,Non-Networked,2,2,0,2,98,362
2011-07-01 00:00:00+00,CA,Non-Networked,1,51,0,0,99,413
2011-08-01 00:00:00+00,CA,Non-Networked,2,4,0,4,101,417
2011-10-01 00:00:00+00,CA,Blink Network,1,2,0,2,103,420
