year,stations_opened,ports_opened,dc_fast_opened,level2_opened,cumulative_stations,cumulative_ports
1995,1,8,0,8,1,8
1997,4,11,0,11,5,19
1998,10,50,0,49,15,69
1999,1,16,4,12,16,85
2000,3,11,0,11,19,96
2002,12,38,0,34,31,134
2004,13,33,0,30,44,167
2005,3,9,0,9,47,176
2006,2,6,0,6,49,182
2008,13,64,0,50,62,246
2009,1,1,0,1,63,247
2010,3,18,2,16,66,265
2011,42,189,22,111,108,454
2012,69,362,24,329,177,816
2013,99,541,197,313,276,1357
2014,150,836,121,704,426,2193
2015,272,952,280,668,698,3145
2016,202,682,140,520,900,3827
2017,192,653,36,616,1092,4480
2018,321,1976,1024,952,1413,6456
2019,332,1937,941,965,1745,8393
2020,2217,7168,1606,5554,3962,15561
2021,4948,11367,1706,9613,8910,26928
2022,2163,7408,1820,5554,11073,34336
2023,2459,7667,2327,5340,13532,42003
2024,2139,9036,2925,6111,15671,51039
2025,2540,9957,3510,6444,18211,60996
2026,1205,3721,1244,2477,19416,64717
